                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                  1.602,                 1.7054,                0.92803,                0.87587,                0.76462,                 0.8507,                0.53328,                 1.5313,                 1.2761,                0.90456,              0.0031525,              0.0031525,              0.0031525
                     85,                 1.6417,                 1.7135,                0.98056,                0.87587,                0.76462,                 0.8507,                0.53328,                 1.5313,                 1.2761,                0.90456,                0.00307,                0.00307,                0.00307
                     86,                 1.6672,                 1.6721,                0.97218,                 0.7479,                0.79466,                0.82574,                0.50626,                 1.4809,                 1.2656,                0.90004,              0.0029875,              0.0029875,              0.0029875
                     87,                 1.6337,                 1.7397,                0.93379,                0.73729,                 0.7726,                0.82454,                0.51468,                 1.5619,                   1.29,                0.90945,               0.002905,               0.002905,               0.002905
                     88,                 1.5915,                 1.6955,                0.93458,                0.74898,                 0.7737,                0.82858,                 0.5173,                  1.522,                 1.2719,                0.90707,              0.0028225,              0.0028225,              0.0028225
                     89,                 1.6073,                 1.6123,                  0.936,                0.78457,                0.75166,                0.80635,                0.51378,                 1.5765,                 1.2682,                0.91104,                0.00274,                0.00274,                0.00274
                     90,                 1.4249,                 1.5898,                0.95549,                0.76135,                   0.77,                0.81541,                0.52143,                 1.4956,                 1.2261,                0.90779,              0.0026575,              0.0026575,              0.0026575
                     91,                 1.5855,                 1.6666,                0.93888,                0.80364,                0.73528,                0.81316,                0.51332,                 1.4851,                 1.2536,                0.90389,               0.002575,               0.002575,               0.002575
                     92,                 1.6201,                 1.6156,                 0.9469,                0.81398,                0.72098,                0.82053,                0.51928,                 1.4974,                 1.2135,                0.90448,              0.0024925,              0.0024925,              0.0024925
                     93,                 1.5719,                 1.5378,                0.92958,                0.81398,                0.72098,                0.82053,                0.51928,                 1.4974,                 1.2135,                0.90448,                0.00241,                0.00241,                0.00241
                     94,                 1.5387,                 1.5184,                0.95337,                0.64372,                0.82319,                0.78323,                0.49086,                 1.4939,                 1.2311,                0.90458,              0.0023275,              0.0023275,              0.0023275
                     95,                 1.5836,                  1.523,                0.97545,                0.71734,                0.68833,                0.78369,                0.46819,                 1.4704,                 1.2637,                0.90742,               0.002245,               0.002245,               0.002245
                     96,                  1.677,                 1.5674,                0.98624,                0.79062,                0.63727,                0.76178,                0.48205,                 1.4834,                 1.2644,                0.91288,              0.0021625,              0.0021625,              0.0021625
                     97,                 1.5414,                 1.5048,                0.93967,                0.74522,                 0.7135,                0.76951,                0.49398,                 1.4386,                 1.2418,                0.90559,                0.00208,                0.00208,                0.00208
                     98,                 1.5057,                 1.5615,                0.93323,                0.75328,                0.72224,                0.80155,                0.49812,                 1.4113,                  1.231,                0.90094,              0.0019975,              0.0019975,              0.0019975
                     99,                  1.366,                 1.4606,                0.92283,                0.77104,                0.71616,                0.81114,                0.50428,                 1.3959,                 1.1923,                0.89716,               0.001915,               0.001915,               0.001915
                    100,                 1.4279,                 1.5434,                0.91781,                0.79974,                0.71156,                 0.8133,                0.49458,                 1.4016,                 1.1943,                0.89248,              0.0018325,              0.0018325,              0.0018325
                    101,                 1.4597,                 1.5262,                 0.9147,                0.79974,                0.71156,                 0.8133,                0.49458,                 1.4016,                 1.1943,                0.89248,                0.00175,                0.00175,                0.00175
                    102,                 1.4911,                 1.4579,                0.94851,                0.73141,                0.74006,                0.81315,                0.48374,                 1.4717,                 1.2033,                0.89791,              0.0016675,              0.0016675,              0.0016675
                    103,                 1.4228,                 1.4445,                 0.9139,                0.74908,                0.74584,                0.82053,                0.48007,                 1.4775,                 1.1847,                0.89918,               0.001585,               0.001585,               0.001585
                    104,                 1.5526,                 1.5863,                0.92798,                0.77077,                0.74733,                0.81421,                0.47991,                 1.4494,                 1.1965,                0.89623,              0.0015025,              0.0015025,              0.0015025
                    105,                 1.4472,                 1.4861,                0.90565,                0.85323,                0.72685,                0.82369,                0.51066,                 1.3936,                 1.1866,                0.88741,                0.00142,                0.00142,                0.00142
                    106,                 1.4637,                  1.461,                0.90718,                0.78131,                0.74016,                0.82436,                0.51255,                 1.3712,                 1.1848,                0.88311,              0.0013375,              0.0013375,              0.0013375
                    107,                 1.5642,                 1.5062,                0.94894,                0.84684,                0.73211,                0.81945,                0.53145,                 1.3855,                 1.1754,                0.88231,               0.001255,               0.001255,               0.001255
                    108,                 1.4572,                 1.4231,                0.90144,                0.87836,                0.70967,                0.81955,                0.54225,                 1.3754,                  1.161,                0.88033,              0.0011725,              0.0011725,              0.0011725
                    109,                 1.5256,                 1.4469,                0.91938,                0.87836,                0.70967,                0.81955,                0.54225,                 1.3754,                  1.161,                0.88033,                0.00109,                0.00109,                0.00109
                    110,                 1.5077,                 1.4794,                0.95994,                0.87182,                0.70628,                0.81484,                0.53768,                 1.3658,                 1.1653,                 0.8787,              0.0010075,              0.0010075,              0.0010075
                    111,                 1.4503,                 1.4503,                0.94613,                0.78358,                0.72263,                0.81473,                0.55411,                 1.3703,                 1.1645,                0.88406,               0.000925,               0.000925,               0.000925
                    112,                 1.3216,                 1.3864,                0.91371,                0.78159,                0.72389,                0.82001,                0.56407,                 1.4032,                 1.1616,                0.88597,              0.0008425,              0.0008425,              0.0008425
                    113,                 1.4399,                 1.3966,                0.90112,                0.76971,                0.73051,                0.81984,                0.56794,                  1.393,                 1.1503,                0.88535,                0.00076,                0.00076,                0.00076
                    114,                 1.4206,                 1.4074,                0.95482,                0.77549,                0.75002,                0.82222,                0.58093,                  1.391,                 1.1442,                 0.8846,              0.0006775,              0.0006775,              0.0006775
                    115,                 1.4653,                 1.3834,                 0.9489,                0.77184,                0.74959,                0.82557,                0.59524,                 1.3612,                  1.132,                0.88091,               0.000595,               0.000595,               0.000595
                    116,                 1.4235,                 1.4481,                0.92967,                0.78034,                0.74917,                0.82591,                0.59407,                 1.3524,                 1.1253,                0.88108,              0.0005125,              0.0005125,              0.0005125
                    117,                 1.4417,                 1.3662,                 0.8962,                0.78034,                0.74917,                0.82591,                0.59407,                 1.3524,                 1.1253,                0.88108,                0.00043,                0.00043,                0.00043
                    118,                 1.4735,                 1.3521,                 0.8866,                0.78907,                0.74479,                 0.8265,                0.58418,                 1.3584,                 1.1241,                0.88161,              0.0003475,              0.0003475,              0.0003475
                    119,                    1.4,                 1.3233,                0.91879,                 0.8122,                0.72647,                0.82687,                0.59277,                 1.3587,                 1.1196,                0.88137,               0.000265,               0.000265,               0.000265
